proposal_id,itinerary_id,proposed_by_user_id,action,target_item_id,entity_type,entity_id,title,rationale,cost_delta,currency,closes_at,status,created_at,updated_at
prp_23424e33,itn_80c49e97,usr_ea479c41,add,,poi,poi_b8450f6f,Add: Pokhara Street Food Lane,"Opens at six, so it works before the train.",-400.00,INR,2026-08-20T10:00:00+05:30,open,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_ea68a2ed,itn_6b9ff2f4,usr_544eff67,replace,itm_9c87b0a4,poi,poi_7a4468c4,Replace: Watchtower Terrace,Cheaper and closer to where we are staying that morning.,0.00,INR,2026-08-23T10:00:00+05:30,rejected,2026-07-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_8116fd40,itn_cbfab114,usr_a370271a,replace,itm_49fcfc52,poi,poi_b72c42e5,Replace: Ayurveda Centre,"Opens at six, so it works before the train.",350.00,INR,2026-08-13T10:00:00+05:30,rejected,2026-08-07T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_db4d9f6e,itn_b48850e7,usr_f5a38687,add,,poi,poi_7222df37,Add: Riverside Lounge,"Opens at six, so it works before the train.",0.00,INR,2026-08-12T10:00:00+05:30,open,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_f03968f8,itn_47f11f46,usr_68f5f82d,replace,itm_be7391dd,poi,poi_a1337353,Replace: Rooftop Live Music,"Opens at six, so it works before the train.",900.00,INR,2026-08-04T10:00:00+05:30,open,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_312887a4,itn_9e82d6d9,usr_46091d13,add,,poi,poi_c26e3e3e,Add: Blue Pottery Workshop,,18.79,MYR,2026-08-19T10:00:00+05:30,open,2026-07-31T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_343c03a3,itn_596df4e9,usr_ea269383,remove,itm_d94cd3d0,poi,poi_18bfd097,Remove: Blue Pottery Workshop,Two of us have already seen the original.,900.00,INR,2026-08-25T10:00:00+05:30,expired,2026-08-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_a13e1531,itn_61002b3e,usr_65303113,remove,itm_3f934310,poi,poi_aef75f2a,Remove: Rooftop Live Music,Two of us have already seen the original.,350.00,INR,2026-08-22T10:00:00+05:30,expired,2026-08-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_23a70316,itn_767918cf,usr_adfa8422,add,,poi,poi_231377ba,Add: Rock Garden,Two of us have already seen the original.,0.00,NPR,2026-08-13T10:00:00+05:30,accepted,2026-08-05T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_c49c027e,itn_bc458e12,usr_57798fdb,replace,itm_278da2bb,poi,poi_a9a7d6f1,Replace: Elephant Camp,Cheaper and closer to where we are staying that morning.,350.00,INR,2026-08-05T10:00:00+05:30,accepted,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_1db59b6e,itn_d0e45d2b,usr_0382185a,add,,poi,poi_7d81053b,Add: Maritime Museum,,2400.00,INR,2026-07-30T10:00:00+05:30,expired,2026-07-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_a3407ea4,itn_2f75d229,usr_410809ba,add,,poi,poi_a7c6fce8,Add: Hot Springs,"Opens at six, so it works before the train.",900.00,INR,2026-08-19T10:00:00+05:30,accepted,2026-07-27T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_09b808da,itn_57241b7e,usr_454b4262,add,,poi,poi_8bbc9fa1,Add: Blue Pottery Workshop,"Opens at six, so it works before the train.",-400.00,INR,2026-08-24T10:00:00+05:30,expired,2026-07-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_e4f1434f,itn_399908ae,usr_61710d50,remove,itm_4bfaaaee,poi,poi_b52743ff,Remove: Elephant Camp,The forecast is bad that afternoon.,-6.44,SGD,2026-08-23T10:00:00+05:30,open,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_fbe61379,itn_f61dc9f3,usr_1ef037a0,add,,poi,poi_e607799f,Add: Ridge Lookout,,900.00,INR,2026-08-03T10:00:00+05:30,expired,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_8fde4c49,itn_8c955314,usr_9474016b,reschedule,itm_3836f907,poi,poi_aa397bd7,"Reschedule: Jazz Cellar, Panaji",The forecast is bad that afternoon.,-1200.00,INR,2026-08-19T10:00:00+05:30,accepted,2026-07-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_c412c110,itn_aaaeabcd,usr_157e58e7,reschedule,itm_a8463d96,poi,poi_886b5e19,Reschedule: Chhatri Complex,"Opens at six, so it works before the train.",-505.20,THB,2026-08-02T10:00:00+05:30,open,2026-07-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_992d01ac,itn_85c1ab20,usr_5b790166,remove,itm_64dd5f54,poi,poi_7bd45bdd,Remove: Fishermen's Cove,Two of us have already seen the original.,-1200.00,INR,2026-08-20T10:00:00+05:30,rejected,2026-07-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_c2047f7b,itn_f3ae7449,usr_157e58e7,add,,poi,poi_60c9ded0,Add: Lucknow Bird Sanctuary,The forecast is bad that afternoon.,0.00,INR,2026-08-04T10:00:00+05:30,expired,2026-07-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_5693749c,itn_2222e724,usr_0ecee4ac,reschedule,itm_2068b73f,poi,poi_18c77529,Reschedule: Botanical Gardens,,-400.00,INR,2026-08-13T10:00:00+05:30,open,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_1c261142,itn_5d4a4726,usr_225fd2f9,remove,itm_6078792d,poi,poi_dcc40577,Remove: Hot Springs,"Opens at six, so it works before the train.",350.00,INR,2026-08-08T10:00:00+05:30,rejected,2026-07-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_8ccf5aec,itn_a073ccb1,usr_f13873e9,remove,itm_f9ac319e,poi,poi_d158bf55,Remove: Leh Bird Sanctuary,The forecast is bad that afternoon.,2400.00,INR,2026-07-30T10:00:00+05:30,expired,2026-08-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_eb10faa0,itn_a0693837,usr_b8779399,add,,poi,poi_f9454648,Add: Ayurveda Centre,,39.69,AED,2026-08-04T10:00:00+05:30,rejected,2026-07-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_25971899,itn_ebe1af54,usr_49c29e32,add,,poi,poi_a1337353,Add: Rooftop Live Music,,-400.00,INR,2026-07-30T10:00:00+05:30,rejected,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_940fc987,itn_3b6e95fc,usr_8317ab30,replace,itm_9a9dc220,poi,poi_c8feccee,Replace: Ridge Lookout,Two of us have already seen the original.,-400.00,INR,2026-08-08T10:00:00+05:30,open,2026-08-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_49993eed,itn_3457f8f4,usr_22d1a7e5,reschedule,itm_2713f82e,poi,poi_5bfdc682,Reschedule: Kochi Lake,,2400.00,INR,2026-08-24T10:00:00+05:30,expired,2026-07-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_a374ae64,itn_ee374fd7,usr_ee5c9717,reschedule,itm_40a48efd,poi,poi_0ca3ad9b,"Reschedule: Jazz Cellar, Ooty",Two of us have already seen the original.,2400.00,INR,2026-08-26T10:00:00+05:30,accepted,2026-08-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_dc6864ff,itn_a7064065,usr_9c898903,remove,itm_91133c0f,poi,poi_858d379c,Remove: Puppet Museum,,-400.00,INR,2026-08-13T10:00:00+05:30,open,2026-07-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_e1b9be38,itn_579e36a3,usr_a015811e,reschedule,itm_1b51e21b,poi,poi_98d86477,Reschedule: Hot Springs,Two of us have already seen the original.,3195.00,LKR,2026-08-14T10:00:00+05:30,open,2026-08-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_f8693a18,itn_49e6ac5d,usr_3f50fbcb,add,,poi,poi_a42d04ae,Add: Riverside Lounge,,350.00,INR,2026-08-26T10:00:00+05:30,expired,2026-07-31T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_cebadac8,itn_2fb80ad4,usr_c94b68cc,add,,poi,poi_453bdf21,Add: Yoga Shala,Cheaper and closer to where we are staying that morning.,-400.00,INR,2026-08-20T10:00:00+05:30,open,2026-07-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_aba0fd64,itn_a39345d5,usr_36284ca0,remove,itm_a3753c1b,poi,poi_44db3209,Remove: Mysuru Observatory,,900.00,INR,2026-08-10T10:00:00+05:30,accepted,2026-08-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_392ad701,itn_de3a268c,usr_76ac5087,add,,poi,poi_4014708e,Add: Yoga Shala,The forecast is bad that afternoon.,350.00,INR,2026-08-11T10:00:00+05:30,open,2026-08-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_f3f27250,itn_c83a66e3,usr_db93de1b,replace,itm_1ae6664d,poi,poi_a94aa23b,Replace: Quiet Bay,"Opens at six, so it works before the train.",-640.00,NPR,2026-08-11T10:00:00+05:30,rejected,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_24fe95b6,itn_0ca874e7,usr_aebfb5b6,remove,itm_8c8de22d,poi,poi_9418fe97,Remove: Gokarna Bird Sanctuary,"Opens at six, so it works before the train.",900.00,INR,2026-08-11T10:00:00+05:30,open,2026-07-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_848e4457,itn_f24b77cd,usr_78bb2d82,remove,itm_10d64924,poi,poi_12199456,Remove: Yoga Shala,,-1200.00,INR,2026-08-27T10:00:00+05:30,open,2026-07-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_f92c6676,itn_896d88e7,usr_e2490a9e,remove,itm_f8fc04de,poi,poi_05550f9c,Remove: Night Food Bazaar,,-1200.00,INR,2026-08-24T10:00:00+05:30,open,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_1e499ce7,itn_ed932242,usr_01d12bc2,remove,itm_98cb87f6,poi,poi_65bb95f4,Remove: Riverside Lounge,"Opens at six, so it works before the train.",8520.00,LKR,2026-08-24T10:00:00+05:30,accepted,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_a6277b8e,itn_9e7e0841,usr_e076a69d,remove,itm_ebea4d5e,poi,poi_5ff5c84a,Remove: Fishermen's Cove,Cheaper and closer to where we are staying that morning.,-400.00,INR,2026-07-30T10:00:00+05:30,accepted,2026-08-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_25565624,itn_ccfec9b1,usr_ee5c9717,add,,poi,poi_b342c8f0,Add: Varanasi Street Food Lane,"Opens at six, so it works before the train.",-400.00,INR,2026-08-19T10:00:00+05:30,open,2026-07-22T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_44f28cb2,itn_24487d0c,usr_5f22c672,replace,itm_82dcbe2e,poi,poi_ee54e1e8,"Replace: Gallery of Modern Art, Visakhapatnam",The forecast is bad that afternoon.,-505.20,THB,2026-08-26T10:00:00+05:30,open,2026-08-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_4ec08699,itn_1cb75808,usr_0e3a6945,reschedule,itm_89bd8210,poi,poi_6b45f5d8,Reschedule: Rock Garden,Two of us have already seen the original.,-400.00,INR,2026-07-29T10:00:00+05:30,expired,2026-07-31T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_937522ce,itn_b7ebfae3,usr_b831f448,add,,poi,poi_ac798552,Add: Quiet Bay,,350.00,INR,2026-08-06T10:00:00+05:30,open,2026-07-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_43e8922b,itn_4ce6da77,usr_540d307a,remove,itm_8401128b,poi,poi_8ea44859,Remove: Hot Springs,Two of us have already seen the original.,-1920.00,NPR,2026-08-24T10:00:00+05:30,rejected,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_ae2921be,itn_cc254c17,usr_b9d5e7c6,reschedule,itm_3ec476d8,poi,poi_3f6cade0,Reschedule: Hot Springs,Cheaper and closer to where we are staying that morning.,105.84,AED,2026-07-30T10:00:00+05:30,rejected,2026-07-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_25340057,itn_06832e77,usr_aaf1c470,remove,itm_a7eb77de,poi,poi_3f1371cd,Remove: Jain Temple Complex,Cheaper and closer to where we are staying that morning.,64.75,MVR,2026-08-11T10:00:00+05:30,open,2026-07-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_1c70af45,itn_7138369b,usr_21700d8e,add,,poi,poi_4392116d,Add: Rock Climbing Wall,Two of us have already seen the original.,350.00,INR,2026-08-07T10:00:00+05:30,expired,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_d5436308,itn_a64055dc,usr_40edb5af,remove,itm_c55561f4,poi,poi_aeffb89e,Remove: Ayurveda Centre,,0.00,INR,2026-08-02T10:00:00+05:30,expired,2026-08-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_e670601c,itn_77f3f092,usr_ee57ec9a,add,,poi,poi_76a11c20,Add: Cycling Loop,The forecast is bad that afternoon.,350.00,INR,2026-08-25T10:00:00+05:30,expired,2026-07-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_506be15b,itn_ad5aaeb1,usr_35d340e3,add,,poi,poi_9d9e5117,Add: Sunset Point,Cheaper and closer to where we are staying that morning.,-1200.00,INR,2026-08-04T10:00:00+05:30,expired,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_0b7c3f95,itn_52259dcf,usr_f23dc3eb,remove,itm_753a8aed,poi,poi_1c1c550c,Remove: Fishermen's Cove,,2400.00,INR,2026-08-09T10:00:00+05:30,open,2026-07-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_d8fc1d5f,itn_1ba926a0,usr_c535ee88,add,,poi,poi_cfe191ae,Add: Royal Cenotaphs,,2400.00,INR,2026-08-20T10:00:00+05:30,open,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_f5aae4fa,itn_a0cf56b2,usr_e1f3dfbc,remove,itm_bbc0107d,poi,poi_1e04227a,"Remove: Jazz Cellar, Aurangabad",Cheaper and closer to where we are staying that morning.,-52.44,QAR,2026-08-18T10:00:00+05:30,open,2026-08-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_4ce7670c,itn_99102388,usr_2433031a,remove,itm_f9915eaf,poi,poi_9f4c8d7a,Remove: Textile Museum,"Opens at six, so it works before the train.",-19.32,SGD,2026-08-17T10:00:00+05:30,expired,2026-07-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_da52fddd,itn_97ede86b,usr_0dc99bd5,add,,poi,poi_d94e1880,Add: Backwater Channel,,-400.00,INR,2026-08-14T10:00:00+05:30,accepted,2026-07-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_8aef52c4,itn_6dd611aa,usr_13fe39d3,reschedule,itm_77c77d3e,poi,poi_90b70970,Reschedule: Watchtower Terrace,,-1200.00,INR,2026-08-24T10:00:00+05:30,open,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_1bfef418,itn_eccd4e62,usr_701b0010,add,,poi,poi_a1b45daa,Add: Cliff Walk,"Opens at six, so it works before the train.",-400.00,INR,2026-08-16T10:00:00+05:30,open,2026-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_bacb93d0,itn_f802f024,usr_4794174d,add,,poi,poi_a2c46b6b,Add: Coffee Roastery Tour,Two of us have already seen the original.,-1200.00,INR,2026-08-18T10:00:00+05:30,open,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_662aeb06,itn_a4f05dcb,usr_ae377360,replace,itm_5fd3049d,poi,poi_8c370a2f,Replace: Rock Garden,,-1200.00,INR,2026-08-01T10:00:00+05:30,open,2026-07-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_b8295b8c,itn_f835c40e,usr_6e3b5c10,reschedule,itm_fc3c3b86,poi,poi_6e34d5eb,Reschedule: Chhatri Complex,,1440.00,NPR,2026-07-29T10:00:00+05:30,rejected,2026-08-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_b4de7d46,itn_8e88b3a4,usr_991a1e29,replace,itm_a4a569ed,poi,poi_dd011b96,Replace: Spice Market Walk,"Opens at six, so it works before the train.",-1200.00,INR,2026-08-21T10:00:00+05:30,expired,2026-08-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_1cafe02d,itn_fa1f2ad4,usr_633c636b,reschedule,itm_f5f8e775,poi,poi_98e87396,Reschedule: Chennai Stepwell,The forecast is bad that afternoon.,350.00,INR,2026-08-03T10:00:00+05:30,accepted,2026-07-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_732f74a0,itn_38a8e1dc,usr_d981bf20,remove,itm_cf13d029,poi,poi_003678b5,Remove: Spice Market Walk,,-1200.00,INR,2026-08-22T10:00:00+05:30,open,2026-07-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_dfd0b516,itn_0a0b92ff,usr_0c1ce238,remove,itm_9e4f5067,poi,poi_ddafcd82,Remove: Hilltop Shrine,Cheaper and closer to where we are staying that morning.,0.00,INR,2026-08-12T10:00:00+05:30,rejected,2026-08-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_cffe1a8b,itn_32e9fed2,usr_7e72b295,remove,itm_18cdb556,poi,poi_a1e5f2e6,Remove: Yoga Shala,,-640.00,NPR,2026-08-05T10:00:00+05:30,rejected,2026-08-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_1c1d205f,itn_961e6880,usr_57890fbe,remove,itm_59c885f9,poi,poi_e4f4e3ee,Remove: City Walls Walk,Two of us have already seen the original.,-400.00,INR,2026-08-20T10:00:00+05:30,rejected,2026-08-07T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_2659f7df,itn_59fccaad,usr_a7185e16,reschedule,itm_ab27bfd0,poi,poi_48787ec6,Reschedule: Zipline Point,Two of us have already seen the original.,-1200.00,INR,2026-08-23T10:00:00+05:30,rejected,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_ab0c0326,itn_9cfc00c5,usr_bedf358a,add,,poi,poi_1f6b3fea,Add: Varanasi Viewpoint,,-1200.00,INR,2026-08-25T10:00:00+05:30,open,2026-08-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
