vote_id,proposal_id,user_id,value,weight,comment,cast_at,updated_at
vot_9bfd6007,prp_9ff13121,usr_08b8f8e9,yes,1.5,Fine either way.,2026-07-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_ae38cde9,prp_f4660efd,usr_651a4d17,no,1.5,No — too far.,2026-07-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_2a28eef4,prp_f4660efd,usr_6c522c49,no,1.5,,2026-08-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_c3ea5d5d,prp_f4660efd,usr_afacd025,yes,1,,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_88e9cdb7,prp_f4660efd,usr_805d11a5,yes,1,,2026-08-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_d28841a9,prp_e7e91082,usr_04abf061,yes,1,,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_0d9ba7e3,prp_e7e91082,usr_bbf1e497,no,1.5,,2026-08-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_90011ea4,prp_e7e91082,usr_b4b6a1a5,abstain,1.5,,2026-08-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_bdd73cb4,prp_e7e91082,usr_da5d7284,yes,1,,2026-07-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_125655c7,prp_af53747c,usr_8eb4e3e7,no,1.5,Only if we skip the museum.,2026-07-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_3b18b48a,prp_af53747c,usr_42dc4da4,no,1,,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_847b0e6d,prp_fcf2312b,usr_e10845c8,yes,1,,2026-08-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_197cf4fa,prp_fcf2312b,usr_8a0aaa50,no,1,,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_57339fa0,prp_fcf2312b,usr_3093604a,no,1,Fine either way.,2026-08-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_dffa192f,prp_592949dc,usr_0e9166f0,no,1,,2026-07-31T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_f7271f67,prp_592949dc,usr_5307f01f,no,1,,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_6d12bfe0,prp_7de0a76f,usr_6c3fae7b,yes,1,,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_c5e1cdce,prp_7de0a76f,usr_2740f754,no,1,,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_9d98bd9a,prp_f4dc57a2,usr_2109396c,yes,1,,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_4be730dd,prp_f4dc57a2,usr_aef2d4f6,yes,1.5,,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_fea948ae,prp_14b31891,usr_1dc66e29,no,1,No — too far.,2026-08-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_bedd4719,prp_14b31891,usr_6e20f92e,no,1.5,No — too far.,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_1d1e83be,prp_14b31891,usr_e4980687,no,1,Only if we skip the museum.,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_66ebb997,prp_dcd3c878,usr_dcfab723,yes,1,,2026-08-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_46a758a5,prp_dcd3c878,usr_7fc93a76,abstain,1,,2026-08-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_c4bcef9d,prp_dcd3c878,usr_fae4d064,no,1,,2026-08-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_c997a0f0,prp_dcd3c878,usr_7dc3ba48,yes,1,Only if we skip the museum.,2026-08-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_1e2d09b0,prp_ae45684e,usr_2da5bb04,yes,1.5,,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_22f87166,prp_ae45684e,usr_7edfea3c,no,1,,2026-07-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_f982e933,prp_caedb77d,usr_e9d7fa81,no,1,No — too far.,2026-07-22T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_b75ead86,prp_caedb77d,usr_c7dcdd3d,abstain,1,Only if we skip the museum.,2026-08-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_4060cf3d,prp_caedb77d,usr_36c3dbed,yes,1,Fine either way.,2026-08-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_f5ac074b,prp_caedb77d,usr_9b3b547f,yes,1.5,Strongly prefer this.,2026-07-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_369c76e2,prp_589cc2f8,usr_ab2353de,yes,1,,2026-08-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_9a29330d,prp_589cc2f8,usr_96740172,abstain,1,,2026-08-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_a1caea59,prp_e8c57e7c,usr_372a30af,no,1,,2026-07-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_995fc75c,prp_e8c57e7c,usr_d8cab59f,no,1,Strongly prefer this.,2026-08-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_2d75c287,prp_e8c57e7c,usr_4e0c977f,abstain,1,No — too far.,2026-08-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_bef65b7e,prp_e8c57e7c,usr_7f6d27fe,yes,1.5,,2026-07-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_1593712a,prp_fdc42773,usr_ce11983a,no,1,,2026-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_3350059c,prp_fdc42773,usr_399971ee,yes,1.5,,2026-07-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_89cd501e,prp_fdc42773,usr_b5327682,yes,1,,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_0fd07f1f,prp_099ca109,usr_b0226153,yes,1,,2026-08-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_4b265b41,prp_099ca109,usr_c25e06d9,yes,1,Fine either way.,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_ffacf25c,prp_099ca109,usr_e6dca418,abstain,1.5,,2026-08-05T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_feb1c856,prp_a6c2d45f,usr_8b3ba681,no,1,Only if we skip the museum.,2026-07-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_66186465,prp_a6c2d45f,usr_e7722766,yes,1,,2026-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_59f54ef1,prp_a6c2d45f,usr_bc8d5d3b,no,1,Strongly prefer this.,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_13cd9be4,prp_7603c5a1,usr_3d1b88d6,yes,1,,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_1c074a50,prp_7603c5a1,usr_ecb18174,yes,1.5,,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_24d9c38d,prp_c7b6dfb1,usr_8ed02105,yes,1,Strongly prefer this.,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_e30118d3,prp_c7b6dfb1,usr_ee5c9717,no,1.5,,2026-07-27T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_4b6c2d98,prp_c7b6dfb1,usr_e7080930,no,1.5,,2026-08-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_5ec2be44,prp_c7b6dfb1,usr_93d67c62,yes,1,,2026-08-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_84d6b339,prp_23424e33,usr_d8ec0000,no,1.5,Only if we skip the museum.,2026-08-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_f95f6258,prp_23424e33,usr_3d1b88d6,yes,1,No — too far.,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_018d950e,prp_23424e33,usr_8180c222,no,1.5,Strongly prefer this.,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_8547d189,prp_23424e33,usr_ea479c41,yes,1,,2026-07-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_05455ed5,prp_ea68a2ed,usr_544eff67,no,1.5,,2026-08-05T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_88d8d204,prp_ea68a2ed,usr_5e289429,abstain,1,,2026-08-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_1271d1cc,prp_ea68a2ed,usr_ba8453d8,yes,1.5,No — too far.,2026-08-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_368895e9,prp_8116fd40,usr_d0571b95,no,1,Fine either way.,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_44477872,prp_8116fd40,usr_a370271a,yes,1,,2026-07-31T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_20dac46c,prp_db4d9f6e,usr_701b0010,yes,1.5,,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_077ce1d8,prp_db4d9f6e,usr_2c8b7af8,yes,1,,2026-07-31T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_eae7671b,prp_f03968f8,usr_1501196b,yes,1.5,,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_9dcf507b,prp_f03968f8,usr_68f5f82d,yes,1,,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_101e4fd2,prp_f03968f8,usr_7796e5e8,yes,1,,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_94cc951e,prp_312887a4,usr_96e3c90b,abstain,1,No — too far.,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_166b2a40,prp_312887a4,usr_693c20b9,yes,1,,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_9d4c8b0f,prp_312887a4,usr_b4a877b0,no,1.5,,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_0ef2113d,prp_343c03a3,usr_21b63d3b,yes,1,,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_457ab854,prp_343c03a3,usr_ea269383,no,1,Strongly prefer this.,2026-08-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_b747cdd7,prp_343c03a3,usr_8e272905,abstain,1,,2026-08-05T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_566c5709,prp_a13e1531,usr_d20b2a69,abstain,1,,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_e99e6219,prp_a13e1531,usr_65303113,no,1,,2026-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_f3f5660d,prp_23a70316,usr_db178dbf,abstain,1.5,Fine either way.,2026-08-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_4bc2f1e5,prp_23a70316,usr_adfa8422,yes,1,,2026-07-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_1dd8d12f,prp_23a70316,usr_7b03ee88,no,1.5,,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_9fe71ebe,prp_c49c027e,usr_ea269383,no,1,Strongly prefer this.,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_57e95971,prp_c49c027e,usr_57798fdb,yes,1,Strongly prefer this.,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_ef7bd1e7,prp_1db59b6e,usr_7f26d855,no,1.5,,2026-07-27T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_09b0b14a,prp_1db59b6e,usr_95d28a5d,yes,1,,2026-07-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_a58853bd,prp_a3407ea4,usr_0dc68a1c,abstain,1,,2026-07-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_c1af500a,prp_a3407ea4,usr_410809ba,abstain,1,No — too far.,2026-08-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_ea9b9aba,prp_09b808da,usr_da6b9625,no,1,,2026-07-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_ab2d4aac,prp_09b808da,usr_c41a26c3,yes,1,No — too far.,2026-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_9cdd4032,prp_09b808da,usr_454b4262,no,1,Strongly prefer this.,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_aee20095,prp_09b808da,usr_1dd8f348,yes,1,,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_99d8e481,prp_e4f1434f,usr_df582802,yes,1,,2026-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_a88d56e2,prp_e4f1434f,usr_61710d50,no,1,,2026-07-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_c5ee3d37,prp_e4f1434f,usr_a7185e16,no,1,,2026-07-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_60bc42af,prp_fbe61379,usr_cbdc0a06,yes,1,,2026-07-31T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_5cf1bc3f,prp_fbe61379,usr_1ef037a0,yes,1,,2026-08-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_f168b9ca,prp_fbe61379,usr_c0926c78,yes,1.5,,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_0a4950a2,prp_fbe61379,usr_a386ca28,yes,1,,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_6583a8e5,prp_8fde4c49,usr_05306731,yes,1,Fine either way.,2026-08-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_86a07cc6,prp_8fde4c49,usr_29dfdea3,no,1,,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_ac77f6e6,prp_8fde4c49,usr_78513cd2,yes,1,Only if we skip the museum.,2026-07-27T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_57f1d2c5,prp_8fde4c49,usr_9474016b,yes,1,,2026-07-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_d6ad44e2,prp_c412c110,usr_157e58e7,yes,1.5,,2026-08-07T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_34d2ef20,prp_c412c110,usr_74e3ecb1,yes,1,Strongly prefer this.,2026-08-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_e3c05ecb,prp_c412c110,usr_b10b045a,yes,1,Strongly prefer this.,2026-07-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_f38ba314,prp_992d01ac,usr_a2df7150,yes,1.5,,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_7f3dc0ff,prp_992d01ac,usr_65303113,yes,1.5,,2026-08-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_0149d6de,prp_992d01ac,usr_5b790166,yes,1,,2026-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_b0e835bc,prp_c2047f7b,usr_24f139e5,yes,1,No — too far.,2026-07-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_7b33dbba,prp_c2047f7b,usr_157e58e7,abstain,1,,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_5ec0faed,prp_5693749c,usr_0ecee4ac,yes,1.5,,2026-08-07T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_826584d3,prp_5693749c,usr_ddcb196c,yes,1,,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_f63710ed,prp_1c261142,usr_be1c9458,abstain,1,,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_d20e147d,prp_1c261142,usr_956481cd,abstain,1,Strongly prefer this.,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_d69a4b18,prp_1c261142,usr_2a348485,no,1,,2026-07-22T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_19eb5180,prp_8ccf5aec,usr_f13873e9,no,1,,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_161565cb,prp_8ccf5aec,usr_f271c461,no,1,Fine either way.,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_d20be190,prp_8ccf5aec,usr_57995796,abstain,1.5,Strongly prefer this.,2026-08-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_958c88d1,prp_eb10faa0,usr_b8779399,no,1.5,,2026-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_0035b995,prp_eb10faa0,usr_4e8e3f6d,no,1.5,,2026-08-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_ab2c43c8,prp_25971899,usr_e10845c8,yes,1,Strongly prefer this.,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_a3dd0c6e,prp_25971899,usr_49c29e32,no,1,Strongly prefer this.,2026-08-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_d24a7fb7,prp_25971899,usr_4e0c977f,yes,1.5,Fine either way.,2026-07-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_ea05e375,prp_25971899,usr_2209582f,yes,1,Strongly prefer this.,2026-07-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_7f856873,prp_940fc987,usr_8317ab30,yes,1,,2026-07-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_977324f3,prp_940fc987,usr_9afd8eab,yes,1,,2026-07-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_87c7e469,prp_940fc987,usr_f43be858,yes,1,,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_3f55a0dd,prp_940fc987,usr_5bfe40e4,abstain,1,,2026-08-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_a6e86dac,prp_49993eed,usr_98a69060,yes,1.5,,2026-08-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_687d9a20,prp_49993eed,usr_22d1a7e5,yes,1,,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_cdae64bc,prp_49993eed,usr_c61e810b,yes,1.5,Strongly prefer this.,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_a213b414,prp_a374ae64,usr_bc67142c,yes,1,Strongly prefer this.,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_f52e4335,prp_a374ae64,usr_4efab0b7,no,1,No — too far.,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_8132d565,prp_a374ae64,usr_7faf6134,no,1,,2026-08-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_e2cf9d9b,prp_a374ae64,usr_ee5c9717,no,1.5,,2026-08-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_59544b8a,prp_dc6864ff,usr_4efab0b7,yes,1,,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_ae6ba260,prp_dc6864ff,usr_9c898903,no,1.5,,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_5aff9288,prp_dc6864ff,usr_225fd2f9,yes,1,,2026-08-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_9af3d4c0,prp_dc6864ff,usr_a3f4f2d9,yes,1,Only if we skip the museum.,2026-07-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_8a1d86ab,prp_e1b9be38,usr_e93a9eef,yes,1,,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_aa681e9c,prp_e1b9be38,usr_f427bdf9,yes,1,Only if we skip the museum.,2026-07-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_dd08aa3e,prp_f8693a18,usr_0e5a0620,no,1,Fine either way.,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_6b6c6390,prp_f8693a18,usr_3f50fbcb,yes,1,Strongly prefer this.,2026-08-05T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_cd0808ed,prp_cebadac8,usr_76043d79,no,1,,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_770342e4,prp_cebadac8,usr_d8ec0000,no,1,,2026-08-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_8e5c2e3e,prp_cebadac8,usr_c94b68cc,abstain,1,Fine either way.,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_d0554cb3,prp_cebadac8,usr_e0440f90,yes,1,Strongly prefer this.,2026-08-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_ce2e4183,prp_aba0fd64,usr_36284ca0,no,1,Only if we skip the museum.,2026-08-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_40877437,prp_aba0fd64,usr_664c590c,no,1,,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_9bb62de4,prp_aba0fd64,usr_6a108f4e,yes,1,,2026-08-07T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_e9ab1aca,prp_392ad701,usr_72818c78,yes,1,Strongly prefer this.,2026-08-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_85f1e78f,prp_392ad701,usr_3c2f4109,no,1,,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_cbf4d8c4,prp_392ad701,usr_76ac5087,abstain,1,,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_13cc148b,prp_f3f27250,usr_db93de1b,yes,1,Fine either way.,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_e3764735,prp_f3f27250,usr_8ddbc4ab,yes,1,Fine either way.,2026-08-07T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_55aec55a,prp_f3f27250,usr_e47b6104,no,1.5,,2026-08-07T10:00:00+05:30,2026-08-18T10:00:00+05:30
