interaction_id,user_id,entity_type,entity_id,interaction_type,occurred_at,dwell_seconds,position_in_list,query_text,query_language,channel,session_id,implicit_rating
uix_7a0cc490,usr_f855344d,poi,poi_09ad9d0b,click,2025-09-17T19:45:00+05:30,,21,,,web,ses_b7368ba05f48,0.45
uix_0795b018,usr_f855344d,hotel,htl_edab68d0,save,2025-12-29T03:45:00+05:30,,,,,web,ses_61f3d457c2d5,0.85
uix_22845b8d,usr_f855344d,poi,poi_5f6b0929,view,2026-07-11T16:00:00+05:30,11,2,,,call_centre,ses_01ebc3caee94,0.27
uix_e921c87e,usr_f855344d,poi,poi_eb997264,dismiss,2025-12-04T02:15:00+05:30,,,,,web,ses_962e9f50b1f4,-0.53
uix_805baacf,usr_f855344d,poi,poi_3cd58d03,view,2026-05-25T09:45:00+05:30,34,13,,,web,ses_271e0ceca480,0.36
uix_3e16be99,usr_f855344d,poi,poi_0fa49039,view,2025-12-08T10:45:00+05:30,13,19,,,web,ses_05729cdc4645,0.35
uix_cfab302b,usr_f855344d,poi,poi_5e69bc20,view,2026-01-21T10:00:00+05:30,28,11,,,web,ses_002de9bff0d3,0.23
uix_671dde2a,usr_f855344d,poi,poi_bf53b848,save,2026-06-23T09:45:00+05:30,,,,,web,ses_a43fc516b285,0.76
uix_289fceb4,usr_f855344d,poi,poi_d19e8a0d,search,2025-12-15T04:15:00+05:30,,,quiet 4 star near the beach with a pool,ta,web,ses_220d36bdbfa2,0.07
uix_6c4ec73d,usr_f855344d,hotel,htl_b7ca8001,view,2026-05-25T22:15:00+05:30,27,3,,,mobile_app,ses_3fd1a4508b59,
uix_6cca4b7c,usr_f855344d,poi,poi_231377ba,view,2026-03-21T20:30:00+05:30,29,24,,,mobile_app,ses_c4e9e40ec1be,0.3
uix_845ae8ee,usr_f855344d,poi,poi_f5507243,view,2025-12-12T20:30:00+05:30,40,19,,,web,ses_b77a362cfe7d,
uix_da441061,usr_f855344d,poi,poi_57db80c0,book,2026-03-07T17:15:00+05:30,,,,,partner,ses_0b9456ff40a2,1.04
uix_65c7e194,usr_f855344d,poi,poi_ac095ceb,view,2026-01-05T02:15:00+05:30,15,18,,,web,ses_1c3abf550369,0.29
uix_ad7bb48a,usr_f855344d,poi,poi_090cc669,like,2026-01-14T15:30:00+05:30,,,,,web,ses_0c4dee53b483,
uix_734a7504,usr_f855344d,poi,poi_66c3e7d9,view,2025-09-12T05:45:00+05:30,27,3,,,web,ses_1ebfa84b81b7,0.33
uix_0be44a9b,usr_f855344d,poi,poi_217fa998,dismiss,2026-04-30T11:45:00+05:30,,,,,mobile_app,ses_d59579335f55,-0.6
uix_6e8a0c5d,usr_f855344d,hotel,htl_8727e865,share,2026-02-07T23:00:00+05:30,,,,,partner,ses_a463c186c35b,0.8
uix_d3591f98,usr_f855344d,hotel,htl_b868ebcf,click,2026-05-05T04:00:00+05:30,,20,,,web,ses_174b67470d9c,0.42
uix_2ed5ddfb,usr_f855344d,poi,poi_6779b6e6,like,2026-01-31T10:15:00+05:30,,,,,mobile_app,ses_de8facdda9da,
uix_bca223f9,usr_f855344d,poi,poi_981e6149,dismiss,2026-01-11T13:30:00+05:30,,,,,web,ses_111e815ff16e,
uix_2f8bd846,usr_f855344d,poi,poi_391f3e77,click,2025-10-30T23:00:00+05:30,,20,,,mobile_app,ses_516ee45564fe,0.56
uix_48f27eb3,usr_f855344d,hotel,htl_f415989a,like,2026-05-19T01:00:00+05:30,,,,,mobile_app,ses_cc1e3f997027,0.74
uix_9da711c6,usr_f855344d,poi,poi_1b2395ad,share,2025-11-03T10:45:00+05:30,,,,,agent,ses_01af577a5ee9,0.7
uix_be613720,usr_f855344d,poi,poi_3a3efeb8,search,2025-08-27T21:15:00+05:30,,,quiet 4 star near the beach with a pool,hi,mobile_app,ses_e9ca87858773,0.1
uix_68489949,usr_f855344d,poi,poi_2b68f8e3,view,2025-09-20T11:15:00+05:30,18,21,,,agent,ses_f5a11f69586d,
uix_cc535811,usr_f855344d,hotel,htl_16ca75ac,book,2025-10-01T15:45:00+05:30,,,,,mobile_app,ses_5ee65011ff11,1.01
uix_08a37780,usr_f855344d,poi,poi_da4f49cf,view,2026-01-17T23:30:00+05:30,66,22,,,mobile_app,ses_65401c419606,
uix_f9cd7f34,usr_f855344d,hotel,htl_43f3566e,save,2025-12-14T10:45:00+05:30,,,,,mobile_app,ses_be25432d6f87,
uix_f6f116c9,usr_f855344d,hotel,htl_d190083e,like,2025-11-15T11:00:00+05:30,,,,,mobile_app,ses_670424018c03,0.86
uix_b873112b,usr_f855344d,poi,poi_1461e306,search,2026-07-19T02:30:00+05:30,,,vegetarian friendly place near the temple,en-IN,mobile_app,ses_192dc635c6f8,0.1
uix_d05b7ca9,usr_f855344d,poi,poi_87f14af2,click,2026-01-22T01:45:00+05:30,,5,,,call_centre,ses_517691365579,0.44
uix_3a1ff20c,usr_f855344d,poi,poi_fb32afcd,view,2026-01-18T05:45:00+05:30,41,9,,,web,ses_49bc19b00a8a,0.29
uix_df462e9a,usr_f855344d,hotel,htl_73b94512,view,2026-01-23T12:30:00+05:30,36,19,,,web,ses_be093ac2e54f,0.33
uix_61a78504,usr_f855344d,poi,poi_1b0630d5,view,2026-05-03T23:45:00+05:30,22,13,,,web,ses_302ff2c09678,0.38
uix_8f493e61,usr_f855344d,poi,poi_3cd58d03,save,2026-03-17T20:45:00+05:30,,,,,mobile_app,ses_09603136b5f5,
uix_c1b8fed5,usr_f855344d,poi,poi_858d379c,view,2026-03-26T08:15:00+05:30,35,18,,,web,ses_66968980831f,0.32
uix_e0d66889,usr_f855344d,poi,poi_e698d1f2,view,2025-07-26T00:00:00+05:30,13,11,,,partner,ses_916d68c7cb07,
uix_0f11575b,usr_f855344d,poi,poi_ceb016d6,dismiss,2026-02-26T23:30:00+05:30,,,,,web,ses_cb52e1ae5b14,-0.53
uix_64c3529e,usr_f855344d,poi,poi_cf0b559b,view,2025-10-04T13:45:00+05:30,238,24,,,call_centre,ses_52ffed53051e,0.3
uix_a818581d,usr_f855344d,poi,poi_4733b6f0,view,2026-08-09T14:15:00+05:30,4,9,,,mobile_app,ses_755efd44562a,0.28
uix_fcab9d10,usr_f855344d,poi,poi_a81484fe,dismiss,2026-01-17T23:15:00+05:30,,,,,mobile_app,ses_2111eaa0cd28,
uix_b7da8e5d,usr_f855344d,hotel,htl_3f98054b,search,2025-12-25T13:15:00+05:30,,,quiet 4 star near the beach with a pool,hi,web,ses_07f551eba560,
uix_17946ddd,usr_f855344d,hotel,htl_73b94512,book,2025-12-25T03:30:00+05:30,,,,,mobile_app,ses_64ef31636b1f,0.91
uix_d572b77f,usr_f855344d,hotel,htl_885db404,click,2025-08-04T10:30:00+05:30,,5,,,web,ses_d4619e733f74,0.48
uix_de2a8a4e,usr_c961aa19,poi,poi_5252b3dc,view,2025-08-31T22:00:00+05:30,91,4,,,web,ses_df2999ec4a9b,0.3
uix_f804e81b,usr_c961aa19,poi,poi_b35717f6,like,2025-08-15T06:00:00+05:30,,,,,mobile_app,ses_4bf5aebdb4fa,0.86
uix_99d3e0d0,usr_c961aa19,poi,poi_58124e0f,save,2026-04-18T23:15:00+05:30,,,,,web,ses_0c00f20c60ed,0.87
uix_f468a4e3,usr_c961aa19,poi,poi_0e534643,save,2025-10-27T23:45:00+05:30,,,,,mobile_app,ses_da50a2a39c6e,0.81
uix_cac7e3cf,usr_c961aa19,poi,poi_65f210fb,click,2025-10-07T19:45:00+05:30,,2,,,partner,ses_20765c4047f6,0.41
uix_c904135e,usr_c961aa19,hotel,htl_b58f3951,share,2025-08-23T14:15:00+05:30,,,,,mobile_app,ses_7a6a76abae57,0.68
uix_d5710e5b,usr_c961aa19,hotel,htl_a4d27c8c,click,2026-01-14T04:30:00+05:30,,7,,,mobile_app,ses_30f7e9e2bf3c,
uix_05301189,usr_c961aa19,poi,poi_3ff2e625,click,2026-02-17T23:30:00+05:30,,13,,,mobile_app,ses_247ca233f414,0.55
uix_583ca61d,usr_c961aa19,hotel,htl_edab68d0,view,2025-11-27T18:15:00+05:30,23,7,,,web,ses_dfa7c4d41ca1,0.31
uix_c0ad864a,usr_aa216995,poi,poi_6714a2b7,save,2026-03-31T20:15:00+05:30,,,,,agent,ses_0f657fdab9db,0.75
uix_e2f4ed6a,usr_aa216995,poi,poi_0e9efeae,share,2025-07-31T08:15:00+05:30,,,,,mobile_app,ses_55a23cfd99ab,0.73
uix_0a52a5b8,usr_aa216995,poi,poi_423f2b73,click,2026-01-11T18:45:00+05:30,,22,,,partner,ses_7a68ae46f274,0.49
uix_52021e78,usr_aa216995,poi,poi_11e2b165,save,2026-04-14T02:00:00+05:30,,,,,web,ses_ba7f2f7ac1d8,0.81
uix_3b4ec9a7,usr_b34877aa,poi,poi_04e07eb8,search,2025-12-26T10:45:00+05:30,,,street food tour in the evening,en-IN,agent,ses_670ebf326687,
uix_1dfc6350,usr_b34877aa,poi,poi_eafd4622,search,2026-03-24T18:00:00+05:30,,,wildlife day trip under 3000,ta,mobile_app,ses_250e472d7a98,
uix_fea7f4c5,usr_b34877aa,poi,poi_ba5291a4,view,2025-12-21T03:15:00+05:30,25,12,,,web,ses_29e61ef1d1ba,0.34
uix_150238a3,usr_b34877aa,hotel,htl_d07e29f4,dismiss,2026-04-07T09:15:00+05:30,,,,,mobile_app,ses_1064c62537c2,-0.61
uix_08cd8324,usr_b34877aa,poi,poi_faf99e79,dismiss,2025-12-30T19:00:00+05:30,,,,,mobile_app,ses_0b80d3989d7f,-0.53
uix_f42e9665,usr_b34877aa,poi,poi_9f4c8d7a,search,2025-11-25T20:30:00+05:30,,,honeymoon package with a private pool,hi,mobile_app,ses_2e2022175f43,
uix_ef8b974a,usr_b34877aa,hotel,htl_44f1ae8b,view,2026-03-04T09:45:00+05:30,25,13,,,mobile_app,ses_8e530b139390,0.22
uix_27c312cf,usr_b34877aa,hotel,htl_fd99a5e3,click,2025-08-01T05:00:00+05:30,,20,,,mobile_app,ses_50b762a533eb,
uix_924c6c33,usr_b34877aa,poi,poi_1461e306,view,2025-11-21T15:00:00+05:30,7,1,,,web,ses_3a08be6f133f,0.3
uix_df713b7b,usr_b34877aa,poi,poi_87e0c24e,view,2026-01-04T05:00:00+05:30,17,16,,,mobile_app,ses_97154e3cc34d,0.32
uix_2f14e6f9,usr_b34877aa,poi,poi_bff432a9,dismiss,2026-04-30T13:00:00+05:30,,,,,mobile_app,ses_26ce9f1607ba,
uix_93bcb2b3,usr_b34877aa,poi,poi_8c2e2ce7,click,2026-05-29T14:00:00+05:30,,1,,,web,ses_f3901926519f,0.51
uix_7e739772,usr_b34877aa,poi,poi_710b6716,view,2026-04-26T13:15:00+05:30,43,10,,,mobile_app,ses_066b0a9a1a79,0.28
uix_a40d9b2b,usr_b34877aa,hotel,htl_0a785439,dismiss,2026-07-15T08:00:00+05:30,,,,,mobile_app,ses_ca8ddeecf7bb,-0.65
uix_79f9e161,usr_dace411a,package,pkg_3b037157,click,2026-06-03T17:30:00+05:30,,18,,,partner,ses_8c88d7e7ab2c,0.59
uix_4e5e500b,usr_dace411a,poi,poi_13d980c4,view,2025-08-11T12:00:00+05:30,177,20,,,agent,ses_2294c5b89146,0.3
uix_b8c8abaa,usr_dace411a,hotel,htl_c4166776,view,2026-01-31T12:15:00+05:30,12,5,,,web,ses_6eae7f8258a1,
uix_36ebe8cd,usr_dace411a,poi,poi_facb346b,click,2025-07-31T02:30:00+05:30,,1,,,mobile_app,ses_b9ed243270f9,
uix_e86f387e,usr_dace411a,poi,poi_0c725142,view,2025-09-21T23:30:00+05:30,27,8,,,web,ses_9a85e3f41313,0.3
uix_260d77d7,usr_dace411a,poi,poi_47a367e4,dismiss,2026-05-13T13:15:00+05:30,,,,,partner,ses_1a48805a57c5,
uix_4708b1f7,usr_dace411a,poi,poi_354c91c9,search,2026-02-06T23:15:00+05:30,,,cheap homestay close to the station,en-IN,mobile_app,ses_5c2ac5c7069d,0.06
uix_33cb65e4,usr_27018453,hotel,htl_fe67eead,view,2026-04-06T14:30:00+05:30,10,16,,,mobile_app,ses_83c11793e290,0.27
uix_8f260ac5,usr_27018453,poi,poi_d30698db,view,2026-06-01T13:30:00+05:30,64,4,,,web,ses_4caae9645a66,0.4
uix_302b8771,usr_27018453,poi,poi_aeffb89e,view,2025-07-27T04:30:00+05:30,78,24,,,mobile_app,ses_b010aafb603c,0.31
uix_0d9d49a6,usr_27018453,poi,poi_b87834c8,save,2025-09-03T21:30:00+05:30,,,,,mobile_app,ses_60e7c65efbcf,
uix_5b6a11ab,usr_27018453,poi,poi_71db86db,view,2025-12-31T21:45:00+05:30,50,11,,,web,ses_9c22a39699fc,0.35
uix_6dbc54fb,usr_27018453,poi,poi_63594b52,save,2026-01-08T05:30:00+05:30,,,,,web,ses_bee19ef28a0a,0.87
uix_ccb58272,usr_27018453,poi,poi_fb892134,view,2025-08-22T12:00:00+05:30,11,7,,,web,ses_31df7abddf42,0.31
uix_f2acfc14,usr_27018453,hotel,htl_436d4430,save,2025-12-05T13:30:00+05:30,,,,,mobile_app,ses_df1083a6ed84,0.79
uix_5759335d,usr_27018453,poi,poi_64085486,click,2026-04-06T15:00:00+05:30,,20,,,mobile_app,ses_c31a5147610e,
uix_ee94d83e,usr_27018453,poi,poi_757a53e0,view,2026-01-25T03:00:00+05:30,128,7,,,mobile_app,ses_15577deacf43,0.33
uix_7d8467d8,usr_27018453,hotel,htl_f5d9d235,view,2026-08-05T03:45:00+05:30,21,23,,,web,ses_38cdf005a27c,
uix_5e8741bd,usr_27018453,poi,poi_f9454648,view,2025-08-06T08:15:00+05:30,27,3,,,mobile_app,ses_4e96af183303,0.25
uix_5dc35f5c,usr_27018453,hotel,htl_2c61b5c9,view,2026-02-15T06:45:00+05:30,28,1,,,mobile_app,ses_712b493e5050,0.22
uix_26de1afe,usr_27018453,hotel,htl_14e2ae81,click,2025-11-07T13:45:00+05:30,,2,,,web,ses_b448787a46a2,0.57
uix_1cff8c9f,usr_27018453,poi,poi_adef3914,search,2026-03-03T18:30:00+05:30,,,honeymoon package with a private pool,ta,web,ses_62900f1edccf,0.12
uix_36344d6f,usr_27018453,poi,poi_adef3914,dismiss,2026-02-22T11:45:00+05:30,,,,,web,ses_b72a4a9fbe05,-0.64
uix_c3a0ff08,usr_27018453,poi,poi_2100d6d3,view,2025-08-23T01:45:00+05:30,74,13,,,web,ses_978a45d758f2,
uix_3279240f,usr_27018453,poi,poi_a0cb84df,view,2025-08-16T14:15:00+05:30,16,3,,,mobile_app,ses_78cb3454e543,
uix_ebb79d14,usr_27018453,poi,poi_45d40c26,view,2026-02-19T05:15:00+05:30,26,14,,,agent,ses_d6539dabaa0a,0.2
uix_1e63fa56,usr_27018453,poi,poi_31a91abe,view,2026-08-14T03:15:00+05:30,8,15,,,partner,ses_e82ff41fe0cf,0.3
uix_ded826b6,usr_27018453,package,pkg_3ab55321,view,2026-03-13T06:45:00+05:30,34,16,,,mobile_app,ses_9bb5b76376e4,0.35
uix_31165ac5,usr_27018453,poi,poi_fb892134,search,2025-11-12T17:00:00+05:30,,,wildlife day trip under 3000,en-IN,mobile_app,ses_728437a00467,0.14
uix_7c264e2a,usr_27018453,hotel,htl_628ee540,like,2026-02-13T11:45:00+05:30,,,,,web,ses_822a84a27829,0.86
uix_414ff983,usr_27018453,poi,poi_ac095ceb,save,2026-07-31T09:00:00+05:30,,,,,web,ses_d79ac9870895,0.83
uix_7a353fa1,usr_27018453,poi,poi_ac095ceb,save,2025-12-12T21:00:00+05:30,,,,,web,ses_1cb84041261e,0.85
uix_ee3ca648,usr_27018453,poi,poi_0b113cd1,search,2026-01-01T15:15:00+05:30,,,cheap homestay close to the station,en-IN,web,ses_cfefc1cd5780,0.04
uix_c005792c,usr_27018453,poi,poi_80e3ffe4,view,2026-02-07T21:00:00+05:30,26,15,,,web,ses_c4a48d54c27f,
uix_7665c2e9,usr_27018453,poi,poi_8740f93b,search,2026-02-09T17:15:00+05:30,,,sunset viewpoint that is not crowded,ta,partner,ses_1f01649f03d1,
uix_aed08cac,usr_27018453,hotel,htl_14e2ae81,click,2026-07-04T17:00:00+05:30,,23,,,web,ses_811fa2cd4896,0.4
uix_f0e0f273,usr_27018453,poi,poi_2100d6d3,dismiss,2026-03-07T22:15:00+05:30,,,,,mobile_app,ses_6d3a741c0fd1,-0.53
uix_1fe66ea0,usr_27018453,poi,poi_995c7c81,view,2025-12-05T09:00:00+05:30,16,23,,,mobile_app,ses_5fc421a13898,0.22
uix_64859eed,usr_27018453,hotel,htl_0a785439,view,2026-05-11T20:00:00+05:30,9,11,,,call_centre,ses_3a02fa8a63fc,0.3
uix_37e79cde,usr_27018453,poi,poi_38dfbd85,view,2025-10-31T17:00:00+05:30,28,9,,,web,ses_893d71adfd66,
uix_c69b4294,usr_27018453,hotel,htl_48e9885c,search,2025-08-14T05:15:00+05:30,,,street food tour in the evening,ta,mobile_app,ses_4432048171e3,
uix_5c5908b6,usr_27018453,poi,poi_b68d9ac4,click,2026-04-22T18:30:00+05:30,,12,,,mobile_app,ses_a4e505b11ffa,0.46
uix_d1cfd0e3,usr_27018453,poi,poi_453bdf21,view,2025-10-17T19:15:00+05:30,49,11,,,mobile_app,ses_c470e11e4c26,0.39
uix_8e201bd5,usr_8e89346c,package,pkg_428961ea,view,2026-07-28T08:30:00+05:30,57,14,,,mobile_app,ses_31cfed37c33a,0.34
uix_44d9bdff,usr_8e89346c,poi,poi_cbc7b76a,view,2026-05-03T00:00:00+05:30,7,6,,,web,ses_ce7ad46f2d46,0.36
uix_6cfa5413,usr_8e89346c,poi,poi_baa25090,like,2025-12-04T18:30:00+05:30,,,,,mobile_app,ses_6b3bb86383f6,
uix_ae7ef082,usr_8e89346c,poi,poi_757a53e0,view,2026-04-20T08:00:00+05:30,13,21,,,mobile_app,ses_86e98c495df3,0.3
uix_38634c6b,usr_8e89346c,poi,poi_d1f05b2f,dismiss,2025-10-14T17:45:00+05:30,,,,,web,ses_79357ea111bf,-0.54
uix_2cfd2e13,usr_8e89346c,poi,poi_e29c4169,click,2026-03-07T22:15:00+05:30,,17,,,agent,ses_1823d4eb8657,0.5
uix_f7052c94,usr_8e89346c,hotel,htl_62ba5d99,search,2025-07-25T14:15:00+05:30,,,street food tour in the evening,en-IN,mobile_app,ses_509eaee23bd7,0.16
uix_2a75037e,usr_8e89346c,hotel,htl_7aa20f17,click,2026-02-07T12:15:00+05:30,,13,,,mobile_app,ses_8168fa53f03a,0.44
uix_406b5de0,usr_8e89346c,poi,poi_74c8b35f,view,2025-12-14T18:00:00+05:30,41,3,,,web,ses_035fa984accb,0.22
uix_7237bfc6,usr_8e89346c,hotel,htl_a7f2c402,view,2025-12-04T08:30:00+05:30,7,6,,,web,ses_c6e6cfc9ccba,0.22
uix_4d0c6ad0,usr_8e89346c,hotel,htl_abcdbceb,view,2026-02-27T00:00:00+05:30,19,17,,,mobile_app,ses_50db7cba552e,0.22
uix_e62e3bbf,usr_8e89346c,hotel,htl_9e900d70,share,2026-03-01T12:00:00+05:30,,,,,mobile_app,ses_2ad67fadc3b3,
uix_e2ae5153,usr_8e89346c,poi,poi_1b2395ad,view,2025-09-11T12:30:00+05:30,41,9,,,mobile_app,ses_049ac4e459b3,0.33
uix_99a60855,usr_8e89346c,poi,poi_c806ff41,save,2026-01-20T13:00:00+05:30,,,,,mobile_app,ses_204af86545fa,0.9
uix_bde2736e,usr_8e89346c,poi,poi_443a14c5,share,2026-01-01T17:15:00+05:30,,,,,web,ses_a074442afc70,
uix_0775f6ae,usr_8e89346c,poi,poi_02d64e75,view,2025-09-23T07:15:00+05:30,6,19,,,web,ses_9e64121640e2,
uix_3b71d03f,usr_8e89346c,hotel,htl_3c8db5e1,view,2025-09-04T18:30:00+05:30,11,12,,,call_centre,ses_6032b33ca06b,0.26
uix_33ec887d,usr_8e89346c,hotel,htl_82a0debc,search,2025-09-22T06:00:00+05:30,,,family hotel with a kids pool,hi,web,ses_2f001f641def,
uix_61293998,usr_8e89346c,package,pkg_55c9e36a,search,2026-05-23T22:45:00+05:30,,,street food tour in the evening,hi,web,ses_8635786a2a94,0.15
uix_60755af1,usr_8e89346c,poi,poi_3457ab13,view,2026-07-25T02:45:00+05:30,12,1,,,mobile_app,ses_636882dc767a,0.36
uix_93ea4fae,usr_8e89346c,poi,poi_1f6b3fea,click,2026-07-18T14:15:00+05:30,,11,,,web,ses_452442bf7fa6,0.6
uix_c2477475,usr_8e89346c,poi,poi_2b00dd1d,search,2026-02-06T20:00:00+05:30,,,honeymoon package with a private pool,ta,web,ses_8b4606634919,0.15
uix_077c6eea,usr_8e89346c,hotel,htl_d8608c0c,view,2026-04-21T02:30:00+05:30,85,22,,,mobile_app,ses_85c35ab97447,0.24
uix_58986cba,usr_8e89346c,poi,poi_d052fde5,view,2026-04-12T00:00:00+05:30,22,11,,,call_centre,ses_2635bffbdc8f,0.29
uix_6f49dad9,usr_8e89346c,hotel,htl_488b1796,save,2026-01-30T19:00:00+05:30,,,,,call_centre,ses_4c65788c74ab,
uix_2003a167,usr_8e89346c,poi,poi_a1e5f2e6,click,2026-06-22T02:45:00+05:30,,21,,,web,ses_f9615971b360,
uix_7d84073d,usr_8e89346c,poi,poi_55efa344,view,2025-11-05T06:30:00+05:30,42,10,,,mobile_app,ses_a4fc0fda1810,0.38
uix_dfbfe039,usr_8e89346c,poi,poi_d0aa4cac,view,2026-01-08T13:30:00+05:30,8,15,,,web,ses_b9252bd34a9b,
uix_18f9fde2,usr_8e89346c,hotel,htl_76c57a96,click,2025-10-27T10:45:00+05:30,,19,,,web,ses_2631d0413332,
uix_2c8e618b,usr_8e89346c,poi,poi_c21309f4,search,2025-12-15T02:30:00+05:30,,,street food tour in the evening,en-IN,mobile_app,ses_365b88d0c1df,0.11
uix_1709e828,usr_8e89346c,poi,poi_f2cb7eae,view,2025-11-09T18:30:00+05:30,3,19,,,call_centre,ses_708b106a9bb3,0.38
uix_538fee9a,usr_8e89346c,package,pkg_403c7aed,click,2026-05-26T06:30:00+05:30,,23,,,mobile_app,ses_da455b1f9bd4,0.44
uix_2ece9031,usr_8e89346c,poi,poi_654970ad,share,2025-12-15T01:00:00+05:30,,,,,mobile_app,ses_19f620c1e316,0.75
uix_5b4a8d8a,usr_8e89346c,hotel,htl_30f184fa,share,2026-05-04T18:45:00+05:30,,,,,web,ses_ba5ec348d981,0.79
uix_18b3b403,usr_8e89346c,poi,poi_ff07508e,dismiss,2025-11-06T03:45:00+05:30,,,,,web,ses_0894fd89ff14,-0.69
uix_8b48fa76,usr_8e89346c,hotel,htl_7b47fb46,view,2026-02-05T16:15:00+05:30,31,2,,,web,ses_581ccf9d0ef2,
uix_a7fd27c0,usr_8e89346c,poi,poi_4c87ddee,click,2026-07-09T07:00:00+05:30,,6,,,agent,ses_f4876895642d,0.45
uix_45f2c672,usr_8e89346c,hotel,htl_97c0591b,view,2025-12-05T19:15:00+05:30,10,13,,,web,ses_9018443177f4,0.33
uix_18abde4a,usr_8e89346c,poi,poi_3dd6c5b0,view,2025-10-26T14:30:00+05:30,20,22,,,mobile_app,ses_40e65946ba63,0.22
uix_691808c9,usr_759b4145,poi,poi_3413f625,click,2026-04-25T12:00:00+05:30,,7,,,mobile_app,ses_160d7314ff31,0.59
uix_b447552f,usr_759b4145,poi,poi_9380220d,like,2026-07-01T22:30:00+05:30,,,,,mobile_app,ses_11ea0b25f76e,0.82
uix_fcb1991e,usr_759b4145,poi,poi_9ffc7df5,click,2026-03-17T04:15:00+05:30,,1,,,mobile_app,ses_a12d79d15f68,0.55
uix_da171a6a,usr_759b4145,poi,poi_9a0ae1b1,share,2026-02-18T16:00:00+05:30,,,,,web,ses_93af808a0e96,0.76
uix_4dcda44e,usr_759b4145,poi,poi_c814b1d0,view,2025-10-07T07:15:00+05:30,5,22,,,mobile_app,ses_6842bf36faab,
uix_59f42777,usr_759b4145,poi,poi_def88fc1,view,2025-08-19T16:00:00+05:30,24,16,,,web,ses_f3b4c906586a,0.39
uix_eea0b4ee,usr_98a69060,poi,poi_d8ffbfe8,save,2025-11-30T05:45:00+05:30,,,,,mobile_app,ses_f7ab4f8edf6d,0.82
uix_799edf87,usr_98a69060,poi,poi_a42d04ae,dismiss,2025-08-21T05:00:00+05:30,,,,,web,ses_287bd08f3611,-0.51
uix_540f912a,usr_98a69060,poi,poi_813f1ef8,click,2026-03-19T10:15:00+05:30,,13,,,mobile_app,ses_8ce30b258a32,0.48
uix_ec684b61,usr_98a69060,poi,poi_5d8f9902,view,2026-02-25T03:45:00+05:30,14,17,,,web,ses_48c21bccc98e,0.37
